price,title,link
"R$,41,,,61,5% OFF,R$,13,,,87",TROPICAL JÓIAS,"<a href=""https://www.mercadolivre.com.br/pingente-de-prata-925-crucifixo-chapado-34cm-prata-italiana/p/MLB30439234?pdp_filters=category:MLB1431#searchVariation=MLB30439234&amp;position=6&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Pingente De Prata 925 Crucifixo Chapado 3,4cm Prata Italiana""><h2 aria-level=""3"" class=""ui-search-item__title"">Pingente De Prata 925 Crucifixo Chapado 3,4cm Prata Italiana</h2></a>"
"R$,119,,,97,7% OFF,R$,39,,,99",S. DEMOR JÓIAS,"<a href=""https://www.mercadolivre.com.br/brinco-argola-ouro-18k-infantil-2-furo-10mm/p/MLB27211858?pdp_filters=category:MLB1431#searchVariation=MLB27211858&amp;position=9&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Brinco Argola Ouro 18k Infantil 2º Furo 10mm""><h2 aria-level=""3"" class=""ui-search-item__title"">Brinco Argola Ouro 18k Infantil 2º Furo 10mm</h2></a>"
"R$,117,,,66,26% OFF,R$,39,,,22",WN BIJOUTERIAS,"<a href=""https://www.mercadolivre.com.br/pulseira-masculina-65mm-17gr-fecho-gaveta-banhada-a-ouro18k-comprimento-21-cm-cor-dimetro-65-cm/p/MLB36266258?pdp_filters=category:MLB1431#searchVariation=MLB36266258&amp;position=14&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Pulseira Masculina 6,5mm 17gr Fecho Gaveta Banhada A Ouro18k Comprimento 21 Cm Cor - Diâmetro 65 Cm""><h2 aria-level=""3"" class=""ui-search-item__title"">Pulseira Masculina 6,5mm 17gr Fecho Gaveta Banhada A Ouro18k Comprimento 21 Cm Cor - Diâmetro 65 Cm</h2></a>"
"R$,33,,,25,37% OFF,R$,11,,,08",SEMI JÓIAS,"<a href=""https://www.mercadolivre.com.br/400-unid-tags-cartelas-para-bijuterias-e-semi-joias-kraft-cor-marrom/p/MLB32363518?pdp_filters=category:MLB1431#searchVariation=MLB32363518&amp;position=21&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""400 Unid Tags Cartelas Para Bijuterias E Semi Jóias Kraft Cor Marrom""><h2 aria-level=""3"" class=""ui-search-item__title"">400 Unid Tags Cartelas Para Bijuterias E Semi Jóias Kraft Cor Marrom</h2></a>"
"R$,313,,,02,5% OFF,R$,31,,,30",AQUA JÓIAS,"<a href=""https://www.mercadolivre.com.br/brinco-argola-infinito-em-ouro-18k-fio-quadrado/p/MLB27436260?pdp_filters=category:MLB1431#searchVariation=MLB27436260&amp;position=5&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Brinco Argola Infinito Em Ouro 18k Fio Quadrado""><h2 aria-level=""3"" class=""ui-search-item__title"">Brinco Argola Infinito Em Ouro 18k Fio Quadrado</h2></a>"
"R$,89,R$,29,,,67",FLAVIA XAVIER JÓIAS,"<a href=""https://www.mercadolivre.com.br/colar-com-foto-pingente-relicario-coraco-para-presente-luxo-cor-dourado/p/MLB37157118?pdp_filters=category:MLB1431#searchVariation=MLB37157118&amp;position=12&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Colar Com Foto Pingente Relicário Coração Para Presente Luxo Cor Dourado""><h2 aria-level=""3"" class=""ui-search-item__title"">Colar Com Foto Pingente Relicário Coração Para Presente Luxo Cor Dourado</h2></a>"
"R$,74,,,24,5% OFF,R$,24,,,75",AQUA JÓIAS,"<a href=""https://www.mercadolivre.com.br/pulseira-avio-viagem-mundo-prata-925-comprimento-19-cm/p/MLB28747982?pdp_filters=category:MLB1431#searchVariation=MLB28747982&amp;position=11&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Pulseira Avião Viagem Mundo Prata 925 Comprimento 19 cm""><h2 aria-level=""3"" class=""ui-search-item__title"">Pulseira Avião Viagem Mundo Prata 925 Comprimento 19 cm</h2></a>"
"R$,46,,,10,R$,15,,,37",D AÇO JOIAS,"<a href=""https://www.mercadolivre.com.br/colar-com-mini-crucifixo-masculino-60cm-de-aco-cirurgico-cor-prateado/p/MLB36263546?pdp_filters=category:MLB1431#searchVariation=MLB36263546&amp;position=16&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Colar Com Mini Crucifixo Masculino 60cm De Aço Cirúrgico Cor Prateado""><h2 aria-level=""3"" class=""ui-search-item__title"">Colar Com Mini Crucifixo Masculino 60cm De Aço Cirúrgico Cor Prateado</h2></a>"
"R$,149,,,29,R$,37,,,32",FABRISHOP JOIAS,"<a href=""https://www.mercadolivre.com.br/brinco-infantil-argola-coraco-ouro-18k750-segundo-furo-cor-dourado/p/MLB29040484?pdp_filters=category:MLB1431#searchVariation=MLB29040484&amp;position=7&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Brinco Infantil Argola Coração Ouro 18k750 Segundo Furo Cor Dourado""><h2 aria-level=""3"" class=""ui-search-item__title"">Brinco Infantil Argola Coração Ouro 18k750 Segundo Furo Cor Dourado</h2></a>"
"R$,79,,,90,R$,26,,,63",THAIS STALMANN JOIAS,"<a href=""https://www.mercadolivre.com.br/correntinha-masculina-100-moeda-antiga-pulseira-brinde-cor-dourado/p/MLB29450943?pdp_filters=category:MLB1431#searchVariation=MLB29450943&amp;position=17&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Correntinha Masculina 100% Moeda Antiga + Pulseira + Brinde Cor Dourado""><h2 aria-level=""3"" class=""ui-search-item__title"">Correntinha Masculina 100% Moeda Antiga + Pulseira + Brinde Cor Dourado</h2></a>"
"R$,890,R$,89",GARDÊNIA JOIAS,"<a href=""https://produto.mercadolivre.com.br/MLB-3406168629-pulseira-bracelete-ouro-18k-3mm-280g-garantia-vitalicia-_JM#position=24&amp;search_layout=grid&amp;type=item&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Pulseira Bracelete Ouro 18k 3mm- 2,80g - Garantia Vitalícia""><h2 aria-level=""3"" class=""ui-search-item__title"">Pulseira Bracelete Ouro 18k 3mm- 2,80g - Garantia Vitalícia</h2></a>"
"R$,149,,,90,R$,37,,,48",Par De Alianças Banhada A Ouro 24k Casamento Nf E Garantia,"<a href=""https://produto.mercadolivre.com.br/MLB-1881646579-par-de-aliancas-banhada-a-ouro-24k-casamento-nf-e-garantia-_JM#position=25&amp;search_layout=grid&amp;type=item&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Par De Alianças Banhada A Ouro 24k Casamento Nf E Garantia""><h2 aria-level=""3"" class=""ui-search-item__title"">Par De Alianças Banhada A Ouro 24k Casamento Nf E Garantia</h2></a>"
"R$,30,,,99,R$,10,,,33",200pçs Brincos Perola 8mm + Tarracha De Silicone Atacado,"<a href=""https://produto.mercadolivre.com.br/MLB-2738508307-200pcs-brincos-perola-8mm-tarracha-de-silicone-atacado-_JM#position=26&amp;search_layout=grid&amp;type=item&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""200pçs Brincos Perola 8mm + Tarracha De Silicone Atacado""><h2 aria-level=""3"" class=""ui-search-item__title"">200pçs Brincos Perola 8mm + Tarracha De Silicone Atacado</h2></a>"
"R$,72,,,49,8% OFF,R$,24,,,16",Colar Círculo Vazado Cravejado De Zircônias Em Prata 925,"<a href=""https://produto.mercadolivre.com.br/MLB-3793646382-colar-circulo-vazado-cravejado-de-zircnias-em-prata-925-_JM#position=27&amp;search_layout=grid&amp;type=item&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Colar Círculo Vazado Cravejado De Zircônias Em Prata 925""><h2 aria-level=""3"" class=""ui-search-item__title"">Colar Círculo Vazado Cravejado De Zircônias Em Prata 925</h2></a>"
"R$,47,,,90,R$,4,,,64",CASA DOS ESTOJOS,"<a href=""https://produto.mercadolivre.com.br/MLB-1319082223-bandeja-grande-atendimento-lisa-veludo-para-joias-ec-_JM#position=28&amp;search_layout=grid&amp;type=item&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Bandeja Grande Atendimento Lisa Veludo - Para Jóias - Ec""><h2 aria-level=""3"" class=""ui-search-item__title"">Bandeja Grande Atendimento Lisa Veludo - Para Jóias - Ec</h2></a>"
"R$,57,,,41,13% OFF,R$,19,,,14",Saquinho De Veludo ( G ) Pacote Com 100 Saquinhos Para Jóias,"<a href=""https://produto.mercadolivre.com.br/MLB-736907087-saquinho-de-veludo-g-pacote-com-100-saquinhos-para-joias-_JM#position=29&amp;search_layout=grid&amp;type=item&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Saquinho De Veludo ( G ) Pacote Com 100 Saquinhos Para Jóias""><h2 aria-level=""3"" class=""ui-search-item__title"">Saquinho De Veludo ( G ) Pacote Com 100 Saquinhos Para Jóias</h2></a>"
"R$,132,R$,33",CHRIS CONTRERAS JOIAS,"<a href=""https://www.mercadolivre.com.br/conjunto-gargantilha-e-pulseira-amor-ao-infinito-ouro/p/MLB29520153?pdp_filters=category:MLB1431#searchVariation=MLB29520153&amp;position=20&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Conjunto Gargantilha E Pulseira Amor Ao Infinito Ouro""><h2 aria-level=""3"" class=""ui-search-item__title"">Conjunto Gargantilha E Pulseira Amor Ao Infinito Ouro</h2></a>"
"R$,2.997,R$,299,,,80",Cordão Escama Peixe Prata 925 Grumet 22mm 70cm Fecho Gaveta,"<a href=""https://produto.mercadolivre.com.br/MLB-3637714351-cordo-escama-peixe-prata-925-grumet-22mm-70cm-fecho-gaveta-_JM#position=30&amp;search_layout=grid&amp;type=item&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Cordão Escama Peixe Prata 925 Grumet 22mm 70cm Fecho Gaveta""><h2 aria-level=""3"" class=""ui-search-item__title"">Cordão Escama Peixe Prata 925 Grumet 22mm 70cm Fecho Gaveta</h2></a>"
"R$,59,R$,19,,,67",Berloque Long Neck Heineken Prata 925,"<a href=""https://produto.mercadolivre.com.br/MLB-2626388035-berloque-long-neck-heineken-prata-925-_JM#position=31&amp;search_layout=grid&amp;type=item&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Berloque Long Neck Heineken Prata 925""><h2 aria-level=""3"" class=""ui-search-item__title"">Berloque Long Neck Heineken Prata 925</h2></a>"
"R$,33,,,13,12% OFF,R$,3,,,21",AQUA JÓIAS,"<a href=""https://www.mercadolivre.com.br/kit-trio-argolas-redondas-prata-925-10mm12mm14mm/p/MLB36989756?pdp_filters=category:MLB1431#searchVariation=MLB36989756&amp;position=22&amp;search_layout=grid&amp;type=product&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Kit Trio Argolas Redondas Prata 925 10mm/12mm/14mm""><h2 aria-level=""3"" class=""ui-search-item__title"">Kit Trio Argolas Redondas Prata 925 10mm/12mm/14mm</h2></a>"
"R$,159,,,40,R$,31,,,88",Presente Colar Flores Perfumadas Coração Eu Te Amo ,"<a href=""https://produto.mercadolivre.com.br/MLB-3443035791-presente-colar-flores-perfumadas-coraco-eu-te-amo-_JM#position=32&amp;search_layout=grid&amp;type=item&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Presente Colar Flores Perfumadas Coração Eu Te Amo ""><h2 aria-level=""3"" class=""ui-search-item__title"">Presente Colar Flores Perfumadas Coração Eu Te Amo </h2></a>"
"R$,79,,,90,R$,26,,,63",Cordão Banhada A Ouro 18k 70 Cm + Pulseira E Pingente,"<a href=""https://produto.mercadolivre.com.br/MLB-1408915757-cordo-banhada-a-ouro-18k-70-cm-pulseira-e-pingente-_JM#position=33&amp;search_layout=grid&amp;type=item&amp;tracking_id=6fdb3d76-e64f-4af5-a387-c16fef0d26a0"" class=""ui-search-item__group__element ui-search-link__title-card ui-search-link"" title=""Cordão Banhada A Ouro 18k 70 Cm + Pulseira E Pingente""><h2 aria-level=""3"" class=""ui-search-item__title"">Cordão Banhada A Ouro 18k 70 Cm + Pulseira E Pingente</h2></a>"
